Long,GEOID,FIPS,County,Primary Census Tract,Prostate__Observed,Prostate__Expected,Prostate_SIR,Prostate_Crude,Signif
1400000US36047005000,36047005000,36047,Kings,50,6,8.8,0.681818182,5.132591959,N
1400000US36081011000,36081011000,36081,Queens,110,6,8.8,0.681818182,3.444316877,N
1400000US36081062700,36081062700,36081,Queens,627,6,8.8,0.681818182,4.112405757,N
1400000US36081077300,36081077300,36081,Queens,773,6,8.8,0.681818182,5.785920926,N
1400000US36061003100,36061003100,36061,New York,31,3,4.4,0.681818182,2.398081535,N
1400000US36081069300,36081069300,36081,Queens,693,7,10.3,0.679611651,5.447470817,N
1400000US36047055300,36047055300,36047,Kings,553,4,5.9,0.677966102,2.600780234,N
1400000US36081155102,36081155102,36081,Queens,1551.02,27,39.9,0.676691729,7.754164273,Y
1400000US36047009800,36047009800,36047,Kings,98,10,14.8,0.675675676,2.387204583,N
1400000US36047008400,36047008400,36047,Kings,84,5,7.4,0.675675676,2.303086135,N
1400000US36047052500,36047052500,36047,Kings,525,5,7.4,0.675675676,3.282994091,N
1400000US36081005300,36081005300,36081,Queens,53,11,16.3,0.674846626,5.363237445,N
1400000US36081026300,36081026300,36081,Queens,263,11,16.3,0.674846626,2.752064048,N
1400000US36047020600,36047020600,36047,Kings,206,6,8.9,0.674157303,4.402054292,N
1400000US36061015601,36061015601,36061,New York,156.01,6,8.9,0.674157303,2.492729539,N
1400000US36061011401,36061011401,36061,New York,114.01,7,10.4,0.673076923,12.19512195,N
1400000US36047006600,36047006600,36047,Kings,66,8,11.9,0.672268908,4.584527221,N
1400000US36081065703,36081065703,36081,Queens,657.03,8,11.9,0.672268908,5.94795539,N
1400000US36081120700,36081120700,36081,Queens,1207,8,11.9,0.672268908,5.738880918,N
1400000US36081144100,36081144100,36081,Queens,1441,9,13.4,0.671641791,5.597014925,N
1400000US36047060000,36047060000,36047,Kings,600,19,28.3,0.671378092,6.095604748,N
1400000US36005029500,36005029500,36005,Bronx,295,10,14.9,0.67114094,4.137360364,N
1400000US36061018000,36061018000,36061,New York,180,10,14.9,0.67114094,2.686727566,N
1400000US36081080301,36081080301,36081,Queens,803.01,10,14.9,0.67114094,4.361098997,N
1400000US36081124700,36081124700,36081,Queens,1247,11,16.4,0.670731707,6.528189911,N
1400000US36081129102,36081129102,36081,Queens,1291.02,12,18,0.666666667,6.417112299,N
1400000US36085009602,36085009602,36085,Richmond,96.02,9,13.5,0.666666667,4.063205418,N
1400000US36005031400,36005031400,36005,Bronx,314,8,12,0.666666667,6.541291905,N
1400000US36081125700,36081125700,36081,Queens,1257,8,12,0.666666667,5.521048999,N
1400000US36005017901,36005017901,36005,Bronx,179.01,7,10.5,0.666666667,3.155996393,N
1400000US36047006200,36047006200,36047,Kings,62,6,9,0.666666667,4.332129964,N
1400000US36061007400,36061007400,36061,New York,74,6,9,0.666666667,3.309431881,N
1400000US36081000200,36081000200,36081,Queens,2,6,9,0.666666667,3.531489111,N
1400000US36047017400,36047017400,36047,Kings,174,5,7.5,0.666666667,5.470459519,N
1400000US36047118202,36047118202,36047,Kings,1182.02,5,7.5,0.666666667,3.779289494,N
1400000US36081015000,36081015000,36081,Queens,150,5,7.5,0.666666667,3.474635163,N
1400000US36081050500,36081050500,36081,Queens,505,4,6,0.666666667,5.547850208,N
1400000US36061011700,36061011700,36061,New York,117,3,4.5,0.666666667,1.578947368,N
1400000US36081048900,36081048900,36081,Queens,489,3,4.5,0.666666667,3.726708075,N
1400000US36081004002,36081004002,36081,Queens,40.02,2,3,0.666666667,2.472187886,N
1400000US36081007700,36081007700,36081,Queens,77,2,3,0.666666667,2.583979328,N
1400000US36081053500,36081053500,36081,Queens,535,2,3,0.666666667,3.194888179,N
1400000US36085022600,36085022600,36085,Richmond,226,17,25.6,0.6640625,5.856011023,N
1400000US36047054500,36047054500,36047,Kings,545,12,18.1,0.662983425,3.455226029,N
1400000US36081069701,36081069701,36081,Queens,697.01,9,13.6,0.661764706,4.6875,N
1400000US36081077906,36081077906,36081,Queens,779.06,9,13.6,0.661764706,6.028131279,N
1400000US36061000201,36061000201,36061,New York,2.01,7,10.6,0.660377359,5.380476556,N
1400000US36047049300,36047049300,36047,Kings,493,12,18.2,0.659340659,3.624282694,N
1400000US36047048000,36047048000,36047,Kings,480,6,9.1,0.659340659,3.302146395,N
1400000US36047055000,36047055000,36047,Kings,550,9,13.7,0.656934307,4.862236629,N
1400000US36081029500,36081029500,36081,Queens,295,9,13.7,0.656934307,5.107832009,N
1400000US36047051100,36047051100,36047,Kings,511,8,12.2,0.655737705,4.509582864,N
1400000US36081112300,36081112300,36081,Queens,1123,4,6.1,0.655737705,3.325020781,N
1400000US36085019800,36085019800,36085,Richmond,198,15,22.9,0.655021834,7.857517025,N
1400000US36081048000,36081048000,36081,Queens,480,7,10.7,0.654205608,4.710632571,N
1400000US36061001200,36061001200,36061,New York,12,10,15.3,0.653594771,5.24383849,N
1400000US36061017401,36061017401,36061,New York,174.01,10,15.3,0.653594771,5.235602094,N
1400000US36085017009,36085017009,36085,Richmond,170.09,13,19.9,0.653266332,9.272467903,N
1400000US36047061600,36047061600,36047,Kings,616,6,9.2,0.652173913,7.761966365,N
1400000US36047056000,36047056000,36047,Kings,560,11,16.9,0.650887574,5.876068376,N
1400000US36047052800,36047052800,36047,Kings,528,5,7.7,0.649350649,5.458515284,N
1400000US36047118201,36047118201,36047,Kings,1182.01,5,7.7,0.649350649,3.320053121,N
1400000US36061006800,36061006800,36061,New York,68,14,21.6,0.648148148,3.719447396,N
1400000US36047037402,36047037402,36047,Kings,374.02,16,24.7,0.647773279,8.105369807,N
1400000US36047069602,36047069602,36047,Kings,696.02,14,21.7,0.64516129,4.451510334,N
1400000US36081046700,36081046700,36081,Queens,467,12,18.6,0.64516129,3.454231434,N
1400000US36081099705,36081099705,36081,Queens,997.05,8,12.4,0.64516129,5.641748942,N
1400000US36047043900,36047043900,36047,Kings,439,6,9.3,0.64516129,2.879078695,N
1400000US36061009500,36061009500,36061,New York,95,4,6.2,0.64516129,2.877697842,N
1400000US36047054900,36047054900,36047,Kings,549,2,3.1,0.64516129,1.123595506,N
1400000US36081088901,36081088901,36081,Queens,889.01,33,51.2,0.64453125,7.589696412,Y
1400000US36061003200,36061003200,36061,New York,32,19,29.5,0.644067797,5.121293801,Y
1400000US36061008800,36061008800,36061,New York,88,17,26.4,0.643939394,5.487411233,Y
1400000US36081001400,36081001400,36081,Queens,14,7,10.9,0.642201835,3.587903639,N
1400000US36081018101,36081018101,36081,Queens,181.01,7,10.9,0.642201835,3.237742831,N
1400000US36047058400,36047058400,36047,Kings,584,10,15.6,0.641025641,6.142506143,N
1400000US36081041100,36081041100,36081,Queens,411,5,7.8,0.641025641,2.250225023,N
1400000US36085016901,36085016901,36085,Richmond,169.01,8,12.5,0.64,5.294506949,N
1400000US36005051600,36005051600,36005,Bronx,516,15,23.5,0.638297872,7.828810021,N
1400000US36047039800,36047039800,36047,Kings,398,6,9.4,0.638297872,4.552352049,N
1400000US36081025700,36081025700,36081,Queens,257,3,4.7,0.638297872,4.285714286,N
1400000US36081137700,36081137700,36081,Queens,1377,16,25.1,0.637450199,5.515339538,Y
1400000US36005032600,36005032600,36005,Bronx,326,10,15.7,0.636942675,5.662514156,N
1400000US36047018200,36047018200,36047,Kings,182,7,11,0.636363636,4.002287021,N
1400000US36061008603,36061008603,36061,New York,86.03,22,34.6,0.63583815,11.75213675,Y
1400000US36047007600,36047007600,36047,Kings,76,8,12.6,0.634920635,3.281378179,N
1400000US36047042000,36047042000,36047,Kings,420,4,6.3,0.634920635,4.464285714,N
1400000US36047065400,36047065400,36047,Kings,654,4,6.3,0.634920635,4.530011325,N
1400000US36047019600,36047019600,36047,Kings,196,9,14.2,0.633802817,3.199431212,N
1400000US36047047000,36047047000,36047,Kings,470,5,7.9,0.632911392,3.317850033,N
1400000US36081037500,36081037500,36081,Queens,375,5,7.9,0.632911392,2.293577982,N
1400000US36081116300,36081116300,36081,Queens,1163,22,34.8,0.632183908,4.976249717,Y
1400000US36005033201,36005033201,36005,Bronx,332.01,9,14.3,0.629370629,4.677754678,N
1400000US36081093900,36081093900,36081,Queens,939,10,15.9,0.628930818,4.196391104,N
1400000US36047059200,36047059200,36047,Kings,592,12,19.1,0.628272251,5.708848716,N
1400000US36081138501,36081138501,36081,Queens,1385.01,12,19.1,0.628272251,5.176876618,N
1400000US36081092900,36081092900,36081,Queens,929,15,23.9,0.627615063,4.496402878,Y
1400000US36081080900,36081080900,36081,Queens,809,16,25.5,0.62745098,5.221932115,Y
1400000US36047017000,36047017000,36047,Kings,170,8,12.8,0.625,4.050632911,N
1400000US36047057600,36047057600,36047,Kings,576,8,12.8,0.625,5.259697567,N
1400000US36047059800,36047059800,36047,Kings,598,8,12.8,0.625,4.608294931,N
1400000US36081032700,36081032700,36081,Queens,327,8,12.8,0.625,3.449762829,N
1400000US36081072300,36081072300,36081,Queens,723,8,12.8,0.625,7.960199005,N
1400000US36047022400,36047022400,36047,Kings,224,6,9.6,0.625,1.876759462,N
1400000US36047040400,36047040400,36047,Kings,404,6,9.6,0.625,5.020920502,N
1400000US36047041300,36047041300,36047,Kings,413,6,9.6,0.625,3.103983445,N
1400000US36047020000,36047020000,36047,Kings,200,5,8,0.625,4.921259843,N
1400000US36047048600,36047048600,36047,Kings,486,5,8,0.625,2.802690583,N
1400000US36047005602,36047005602,36047,Kings,56.02,4,6.4,0.625,5.641748942,N
1400000US36047005100,36047005100,36047,Kings,51,3,4.8,0.625,2.985074627,N
1400000US36047065200,36047065200,36047,Kings,652,3,4.8,0.625,5.347593583,N
1400000US36081140901,36081140901,36081,Queens,1409.01,3,4.8,0.625,6.012024048,N
1400000US36081018000,36081018000,36081,Queens,180,2,3.2,0.625,3.110419907,N
1400000US36081104700,36081104700,36081,Queens,1047,22,35.3,0.623229462,7.392473118,Y
1400000US36047059401,36047059401,36047,Kings,594.01,20,32.1,0.62305296,5.491488193,Y
1400000US36061009700,36061009700,36061,New York,97,18,28.9,0.62283737,6.836308393,Y
